"Year","Season","Reg No","Name","Tattoo","CED","CED Acc","BW","BW Acc","WW","WW Acc","YW","YW Acc","Milk","Milk Acc","Total Maternal","Growth Idx"
"2024","20240808","AF154061","MGB1854","MGB1854","-3.506","0.08","3.285","0.188","54.939","0.07","95.207","0.013","26.928","0.034","54.3975","99.411"
"2024","20240808","AP228309","WINDY HILL RANCH 1521","1521","1.85","0.117","1.512","0.144","51.84","0.175","91.852","0.028","29.68","0.086","55.6","110.941"
"2024","20240808","AF5126","HEARTBRAND B4652S","B4652S","-0.04","0.45","2.578","0.75","53.526","0.546","93.696","0.109","29.471","0.312","56.234","102.2"
"2024","20240808","AF4239","HEARTBRAND B4256S","B4256S","-2.445","0.356","3.67","0.513","59.655","0.357","101.798","0.068","28.436","0.287","58.2635","109.445"
"2024","20240808","AF246675","TRIBE LAND AND CATTLE 9011E","9011E","2.344","0.214","2.358","0.229","55.364","0.187","95.619","0.03","26.645","0.095","54.327","101.878"
"2024","20240808","AF287148","SB 2682L","2682L","-3.174","0.157","3.49","0.177","57.252","0.118","97.859","0.019","24.458","0.057","53.084","99.215"
"2024","20240808","AF30264","HEARTBRAND 994Z","994Z","10.722","0.659","0.925","0.812","55.101","0.648","96.435","0.115","25.079","0.311","52.6295","132.254"
"2024","20240808","AF54517","WINDY HILL RANCH 3884B","3884B","5.765","0.336","0.271","0.409","51.442","0.513","91.766","0.09","32.892","0.195","58.613","118.1"
"2024","20240808","AF218985","ROBINSON RANCH 6490J","6490J","1.763","0.206","2.239","0.355","53.317","0.247","93.417","0.041","26.862","0.117","53.5205","108.073"
"2024","20240808","AF290635","L7854D","L7854D","3.817","0.189","3.519","0.221","59.666","0.184","101.198","0.028","26.81","0.078","56.642998","101.534"
